"id","#Organism/Name","Strain","Size (Mb)","TotalScore","SequenceScore","Phylogroup","Bioproject","Biosample","Pasteur_MLST","Achtman_MLST","Patric_Serovar","Patric_Pathovar","Patric_MLST","Patric_Other_Typing","Patric_Publication","Patric_Sequencing_Centers","Patric_Sequencing_Platform","Patric_Sequencing_Depth","Patric_Assembly_Method","Patric_Isolation_Source","Patric_Isolation_Comments","Patric_Isolation_Country","Patric_Collection_Date","Patric_Geographic_Location","Patric_Host_Name","Patric_Host_Health","Patric_Disease","Patric_Body_Sample_Site","Patric_Other_Clinical","PCR_Products","Quadruplex","Clermont_Specific","PCR_Phylogroup","Mash_dist_Phylogroup","Mash_screen_Phylogroup","Abram_Concat_Phylogroup","Boolean_Mash_screen_Mash_dist","Boolean_Abram_Phylogroup_PCR_Phylogroup","Boolean_Abram_Phylogroup_Mash_screen","Boolean_Abram_Phylogroup_Mash_dist","Boolean_PCR_Phylogroup_Mash_screen","Boolean_PCR_Phylogroup_Mash_dist"
"GCA_002357915.1","Escherichia coli","20Ec-P-124","5.3797","1","0.99","G","PRJDB5007","SAMD00056130","48","117",,,,,"28424528","Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases","MiSeq; PacBio RSII","200x","HGAP Assembly v. 3.0; Celera Assembler v.",,,"Japan","2008","Japan","Pig, Sus scrofa",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002442155.1","Escherichia coli","32_Esco_HA-NL","5.1978","0.82","0.79","G","PRJNA352198","SAMN05977355","48","117",,,"MLST.Escherichia_coli_1.117",,"29051750","University Medical Center Groningen","Illumina MiSeq","62.0x","CLC NGS Cell v. 9.0.1","rectal swab",,"Netherlands","2013","Netherlands","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_000457125.1","Escherichia coli HVH 79 (4-2512823)","HVH 79 (4-2512823)","5.16846","0.97","0.88","G","PRJNA186102","SAMN01885729","48","117",,,"MLST.Escherichia_coli_1.117",,,"Broad Institute","Illumina","250.0x","allpaths v. R46382","Blood",,"Denmark","2003","Denmark","Human, Homo sapiens",,"Bacteremia",,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_000176695.2","Escherichia coli H299","H299","5.31784","0.9","0.7","G","PRJNA38991","SAMN02595374","48","117",,,"MLST.Escherichia_coli_1.117",,,"Broad Institute","454","21x","Arachne v. 04/2007",,,,,,"Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_900196505.1","Escherichia coli","F2_88","5.19814","0.96","0.85","G","PRJEB21464","SAMEA104140567",,,,,"MLST.Escherichia_coli_1.117",,,"Ausgem",,,,"Pig rectal swab",,,"2007",,"Pig, Sus scrofa",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_900196345.1","Escherichia coli","F2_85","5.19664","0.96","0.86","G","PRJEB21464","SAMEA104140564","48","117",,,"MLST.Escherichia_coli_1.117",,,"Ausgem",,,,"Pig rectal swab",,,"2007",,"Pig, Sus scrofa",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002541385.1","Escherichia coli","MOD1-EC6074","5.2617","0.91","0.64","G","PRJNA230969","SAMN05439488","48","117","O33:H4",,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"FDA/CFSAN","Illumina NextSeq 500","24.0x","SPAdes v. 3.8.2","Uterus",,"United States","1/27/11","USA:MI","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002142435.1","Escherichia coli","ARS-CC9640","5.26558","0.91","0.65","G","PRJNA381151","SAMN06670995","48","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_001420955.1","Escherichia coli","2009C-3133","5.51434","1","0.99","G","PRJNA218110","SAMN02991226","48","117","E. coli O119:H4",,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"CDC","Pacific Biosciences","158","HGAP v. v3","Stool",,"United States","Mar-08","United States","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002930345.1","Escherichia coli","WH398","5.17232","0.89","0.65","G","PRJNA433384","SAMN08481365","48","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"United States Department of Agriculture","Illumina Miniseq","50.0x","SPAdes v. 3.9.0","chicken meat",,"United States","4/21/10","USA: Oregon",,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002543505.1","Escherichia coli","MOD1-EC5996","5.19733","0.92","0.66","G","PRJNA230969","SAMN05439430","48","117","O33:H17",,"MLST.Escherichia_coli_1.117",,,"FDA/CFSAN","Illumina NextSeq 500","28.9x","SPAdes v. 3.8.2","milk",,"United States","2/26/10","USA:NY","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_001519195.1","Escherichia coli","GN02004","5.16323","0.88","0.7","G","PRJNA290784","SAMN03922013","48","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002142365.1","Escherichia coli","ARS-CC9591","5.15037","0.91","0.63","G","PRJNA381151","SAMN06670999","48","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002142445.1","Escherichia coli","ARS-CC9624","5.25341","0.91","0.63","G","PRJNA381151","SAMN06670993","48","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_003173475.1","Escherichia coli","KCJ9511","5.22688","0.93","0.73","G","PRJNA298331","SAMN04510557",,,,,"MLST.Escherichia_coli_1.117",,,"US Food and Drug Administration","Illumina MiSeq","55.0x","SPAdes v. 2.0","calf feces",,"United States","9/16/14","USA:FL","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_003173535.1","Escherichia coli","KCJ9499","5.17353","0.94","0.77","G","PRJNA298331","SAMN04510559","641","117",,,"MLST.Escherichia_coli_1.117",,,"US Food and Drug Administration","Illumina MiSeq","40.0x","SPAdes v. 2.0","feces",,"United States","9/16/14","USA:FL","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002810785.1","Escherichia coli","KCJK6378","5.18176","0.93","0.73","G","PRJNA420036","SAMN08104589","641","117",,,"MLST.Escherichia_coli_1.117",,,"University of Florida","Illumina MiSeq","45.0x","SPAdes v. 3.0","fecal sample",,"United States","2016","USA: FL","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002810775.1","Escherichia coli","KCJK6320","5.1879300000000015","0.93","0.72","G","PRJNA420036","SAMN08104573","641","117",,,"MLST.Escherichia_coli_1.117",,,"University of Florida","Illumina MiSeq","69.0x","SPAdes v. 3.0","fecal sample",,"United States","2016","USA: FL","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002099605.1","Escherichia coli","KCJK5576","5.1514","0.94","0.77","G","PRJNA298331","SAMN05655993","641","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002099535.1","Escherichia coli","KCJK2104","5.15658","0.95","0.79","G","PRJNA298331","SAMN05757736","641","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002212815.1","Escherichia coli","KCJK1770","5.1497","0.94","0.77","G","PRJNA298331","SAMN05789720","641","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002099665.1","Escherichia coli","KCJK5581","5.15238","0.94","0.77","G","PRJNA298331","SAMN05655980","641","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002212785.1","Escherichia coli","KCJK1791","5.15072","0.94","0.77","G","PRJNA298331","SAMN05789719","641","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002837295.1","Escherichia coli","KCJK7063","5.13328","0.93","0.7","G","PRJNA420036","SAMN08140747","641","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.641",,,"University of Florida","Illumina MiSeq","66.0x","SPAdes v. 3.0",,,"United States","2016","USA: FL","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002837365.1","Escherichia coli","KCJK7254","5.13146","0.89","0.56","G","PRJNA420036","SAMN08141034","641","117",,,"MLST.Escherichia_coli_1.117",,,"University of Florida","Illumina MiSeq","33.0x","SPAdes v. 3.0",,,"United States","2016","USA: FL","Cow, Bos taurus",,,,,"ybgD, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_003145715.1","Escherichia coli","Spr2013_WWKa_OUT_5","5.22155","0.91","0.73","G","PRJNA380388","SAMN06641840","48","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"BIOTEC","Illumina MiSeq","10.0x","ABySS v. 1.5.2","wastewater outflow",,"Germany","27-Mar-13","Germany: Dresden-Kaditz",,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002215115.1","Escherichia coli","PSUO78","5.230569999999998","1","1","G","PRJNA287566","SAMN03783370","48","5940",,,,,,"Pennsylvania State University","PacBio","14x","SMRT v. 3.2.0","peritoneal cavity",,"United States","2010","United States","Chicken, Gallus gallus","Peritonitis",,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002307635.1","Escherichia coli","N56738","5.39309","0.86","0.73","G","PRJNA221632","SAMN07624459","48","117",,,"MLST.Escherichia_coli_1.117",,,"FDA","Illumina MiSeq","48x","CLC de novo v. 9.5","ground turkey",,"United States","2015","USA:TN",,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002549655.1","Escherichia coli","MOD1-EC5814","5.12385","0.94","0.77","G","PRJNA230969","SAMN05439322","48","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"FDA/CFSAN","Illumina NextSeq 500","66.8x","SPAdes v. 3.8.2","Ileum",,"United States","10/14/83","USA:PA","Odocoileus virginianus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002142415.1","Escherichia coli","ARS-CC9604","5.33059","0.8","0.61","G","PRJNA381151","SAMN06670996","48","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_003008815.1","Escherichia coli","sc14-203","5.19963","0.94","0.76","G","PRJNA417344","SAMN07983321","48","117",,,"MLST.Escherichia_coli_1.117",,"29535301","China Aricultural University","Illumina HiSeq","20x","CLC NGS Cell v. 9.5.3",,,"China","2014","China:Sichuan","Chicken, Gallus gallus",,,,,"ybgD, trpA, trpBA, trpAgpC","-, -, -, -","trpAgpC","Unknown","G","F","G","False","False","False","True","False","False"
"GCA_002853715.1","Escherichia coli","14EC020","5.14588","1","1","G","PRJNA414689","SAMN07807401","48","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"South China Sea Institute of Oceanology","PacBio","100.0x","HGAP v. v3","clinical patient",,"China","2014","China",,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","G","G","True","True","True","True","True","True"
"GCA_002485845.1","Escherichia coli","MOD1-EC6461","5.22912","0.94","0.77","G","PRJNA230969","SAMN04993080","641","117","O117:H11",,"MLST.Escherichia_coli_1.117",,,"FDA/CFSAN","Illumina NextSeq 500","38.8x","SPAdes v. 3.8.2","cow feces",,"United States","16-Jun-88","USA: AK","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, trpAgpC","-, -, -, -","trpAgpC","Unknown","G","F","G","False","False","False","True","False","False"
"GCA_000458825.1","Escherichia coli HVH 188 (4-2356988)","HVH 188 (4-2356988)","5.09436","0.98","0.94","G","PRJNA186214","SAMN01885827","48","117",,,"MLST.Escherichia_coli_1.117",,,"Broad Institute","Illumina","145.0x","allpaths v. R46367","Blood",,"Denmark","2003","Denmark","Human, Homo sapiens",,"Bacteremia",,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_001030505.1","Escherichia coli","BIDMC101","5.17577","0.98","0.93","G","PRJNA271899","SAMN03280209","48","117",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002474515.1","Escherichia coli","MOD1-EC5764","4.98295","0.93","0.7","G","PRJNA230969","SAMN05468029","48","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"FDA/CFSAN","Illumina NextSeq 500","35.4x","SPAdes v. 3.8.2","egg",,"United States","28-Aug-82","USA: DE","Chicken, Gallus gallus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
"GCA_002518295.1","Escherichia coli","MOD1-EC5763","4.9074","0.93","0.71","G","PRJNA230969","SAMN05468030","48","117",,,"MLST.Escherichia_coli_1.117,MLST.Escherichia_coli_2.48",,,"FDA/CFSAN","Illumina NextSeq 500","21.5x","SPAdes v. 3.8.2","egg",,"United States","28-Aug-82","USA: DE","Chicken, Gallus gallus",,,,,"ybgD, trpA, trpBA, chuA, trpAgpC","-, +, -, -","trpAgpC","G","G","F","G","False","True","False","True","False","True"
